Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
AC,24.68672655,64.7097428,0.03,25.5,87.0,64.0,Cooler,19.0,2.0
AC,25.16606845,67.43979,0.82,25.75,90.0,61.09088959,Warmer,28.0,4.0
NV,28.33899975,78.517155,0.05,29.3,91.0,58.0,Cooler,34.0,17.0
AC,25.44734,67.6346027,1.04,25.85,91.0,60.0,Warmer,48.0,4.0
NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Cooler,6.0,16.0
AC,25.6685343,70.25001710000001,0.61,26.1,91.0,56.0,No Change,27.0,4.0
NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Cooler,14.0,17.0
AC,24.86395285,71.27894,0.15,26.4,88.0,60.0,No Change,9.0,2.0
AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,No Change,36.0,2.0
AC,25.40398025,60.1743946,0.04,26.0,91.0,56.0,Cooler,17.0,2.0
NV,27.76193445,78.514075,0.25,28.7,87.0,65.0,No Change,3.0,18.0
AC,25.51388645,74.94691465,0.18,26.0,88.61178068,59.38821932,Cooler,42.0,3.0
NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Cooler,54.0,16.0
NV,29.55438615,72.80058305,0.09,30.35,92.0,55.0,Cooler,56.0,16.0
NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,Cooler,31.0,19.0
AC,25.7322636,73.4199873,0.78,26.25,91.0,57.0,No Change,58.0,4.0
AC,25.6104712,60.81998,0.15,26.05,89.0,63.0,No Change,30.0,3.0
AC,25.66198,76.25338735,0.22,26.25,90.0,58.0,No Change,58.0,3.0
AC,25.2951131,72.53571295,0.12,26.0,93.0,56.52934892,Cooler,34.0,3.0
AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,No Change,6.0,4.0
AC,25.6314656,67.09447,0.44,26.0,90.0,62.69769353,No Change,45.0,3.0
NV,28.11153,76.09382500000001,0.06,29.0,90.0,58.0,Cooler,27.0,16.0
AC,24.0617094,65.2737846,0.17,25.2,87.0,66.0,No Change,20.0,2.0
AC,25.0224695,62.74987635,0.81,25.0,89.0,62.0,Cooler,8.0,4.0
AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,No Change,26.0,3.0
NV,29.70415215,71.47286,0.41,30.35,92.0,54.0,No Change,60.0,18.0
AC,25.5805779,71.40130694999999,0.13,26.1,89.0,63.0,No Change,42.0,2.0
AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,No Change,54.0,2.0
NV,28.97388325,75.5851074,0.36,29.65,89.0,59.0,No Change,18.0,19.0
AC,24.6106377,69.597665,0.06,25.95,93.0,53.0,Cooler,43.0,2.0
NV,27.54382515,75.882295,0.44,28.4,86.40827744,67.0,No Change,3.0,17.0
AC,25.4374294,69.43149,0.37,25.95,87.0,64.0,Warmer,19.0,4.0
NV,28.84089085,76.13239215,0.03,29.9,92.0,56.0,Cooler,36.0,17.0
NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,No Change,2.0,17.0
AC,24.733455,69.976585,0.15,26.4,90.0,60.0,No Change,39.0,2.0
NV,28.1936712,74.08189,0.49,28.85,90.0,57.0,No Change,27.0,19.0
AC,25.5058241,65.31376,0.37,26.3,89.0,58.0,No Change,53.0,3.0
NV,29.28249265,75.3105,0.56,30.1,91.0,58.0,Cooler,42.0,19.0
AC,24.70157335,65.082545,0.09,25.65,89.0,61.0,Cooler,8.0,1.0
AC,25.5269273,75.17724000000001,0.05,26.45,90.0,62.94535887,Cooler,55.0,2.0
AC,25.55345915,75.55536205,0.08,27.15,83.0,73.0,No Change,2.0,2.0
AC,25.6745028,71.833585,0.68,26.15,89.0,61.0,No Change,38.0,4.0
AC,25.19874095,68.78459000000001,0.07,25.9,89.69555292,63.0,Cooler,43.0,2.0
AC,25.51706695,76.32262,0.71,26.0,88.38884606,59.61115394,Cooler,40.0,4.0
AC,25.58443,72.9034225,0.61,26.3,89.0,52.86264799,No Change,53.0,4.0
AC,24.201829,68.429675,0.12,25.25,87.0,66.0,No Change,22.0,1.0
NV,29.28249265,75.3105,0.56,30.1,91.0,58.0,No Change,37.0,19.0
AC,25.2849809,72.16737499999999,0.13,26.0,93.0,56.0,No Change,33.0,3.0
AC,25.422402400000003,77.39952274999999,0.13,26.2,89.0,62.0,Cooler,60.0,2.0
AC,24.2068288,67.79967500000001,0.06,25.25,87.0,66.0,No Change,19.0,1.0
NV,27.65568925,80.4292079,0.44,28.75,88.0,63.70919532,Cooler,8.0,18.0
AC,24.0906477,64.61978239999999,0.1,24.85,89.0,64.0,Cooler,43.0,2.0
NV,28.4141456,79.98768,0.05,29.5,89.0,64.0,Cooler,7.0,16.0
NV,28.3461914,73.937405,0.54,29.3,92.0,55.0,No Change,59.0,19.0
AC,25.8863735,72.66152,0.03,26.9,91.0,57.0,No Change,57.0,2.0
AC,26.0289812,73.44053255,0.88,26.75,91.0,57.0,No Change,58.0,4.0
NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,Cooler,59.0,18.0
NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,Cooler,5.0,18.0
NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Cooler,45.0,17.0
AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,Cooler,54.0,2.0
AC,27.60513115,79.99469500000001,0.38,28.25,93.0,55.0,No Change,35.0,3.0
NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Cooler,10.0,16.0
NV,27.46960355,76.7434977,0.31,28.45,88.0,60.0,No Change,53.0,19.0
NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Cooler,60.0,19.0
AC,25.80401335,63.9229383,0.04,26.85,89.0,58.0,No Change,52.0,2.0
AC,25.3587227,71.63694275,0.03,26.25,87.0,64.05443001,No Change,20.0,2.0
AC,24.400237,72.452845,0.18,25.4,87.0,66.94115996,No Change,24.0,1.0
AC,25.66198,76.25338735,0.22,26.25,90.0,58.0,No Change,57.0,3.0
AC,24.9865618,62.1965561,0.08,25.85,89.0,62.0,No Change,29.0,3.0
AC,25.69550105,75.77646715,0.33,26.25,90.0,58.0,Warmer,59.0,3.0
NV,28.8235407,75.06594000000001,0.09,29.65,90.0,57.0,Cooler,16.0,16.0
NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,No Change,48.0,18.0
NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,Cooler,40.0,17.0
AC,26.4589215,67.20384,0.73,26.9,91.0,56.0,Warmer,16.0,4.0
