Timestamp,User ID,voteLog,Thermal Acceptance,Thermal Preference,Air Movement Preference,Demographics,Mode,Survey Type,StartDate,Condition,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Thermal Sensation,Thermal Acceptabil,Thermal Preference,Space Preference_1,Reason for Rating,Air Freshness,Airflow Sensation,Airflow Preference,Air Humidity Sensati,Air Humidity Prefere,Indoor Air Quality,Indoor Air Quality.1,Indoor Air Quality_10_TEXT,Acoustics_1,Acoustics_2,Acoustics_3,Visual,Visual.1,BCA Test Site_AirReadings_Off Coil Temp,BCA Test Site_AirReadings_Outdoor Air RH,BCA Test Site_AirReadings_Outdoor Air Temp,BCA Test Site_AirReadings_Return Air CO2,BCA Test Site_AirReadings_Return Air RH,BCA Test Site_AirReadings_Return Air Temp,BCA Test Site_AirReadings_Supply Air CO2,BCA Test Site_AirReadings_Supply Air RH,BCA Test Site_AirReadings_Supply Air Temp,BCA Test Site_BTUReadings_BTU Cooling Load W,BCA Test Site_MainLinePowerMeter_Power W,BCA Test Site_PowerMeterReadings_AHU_Power W,BCA Test Site_PowerMeterReadings_Fan_Power W,BCA Test Site_VAVFeedback_VAV-01_Airflow Final,BCA Test Site_VAVFeedback_VAV-01_Temp,BCA Test Site_VAVFeedback_VAV-02_Airflow Final,BCA Test Site_VAVFeedback_VAV-02_Temp,BCA Test Site_VAVFeedback_VAV-03_Airflow Final,BCA Test Site_VAVFeedback_VAV-03_Temp,BCA Test Site_VAVFeedback_VAV-04_Airflow Final,BCA Test Site_VAVFeedback_VAV-04_Temp,UFL.AWAIR 33482 CO2,UFL.AWAIR 33482 HUMIDITY,UFL.AWAIR 33482 LUX,UFL.AWAIR 33482 PM10,UFL.AWAIR 33482 PM2.5,UFL.AWAIR 33482 SCORE,UFL.AWAIR 33482 SOUND,UFL.AWAIR 33482 TEMP,UFL.AWAIR 33482 VOC,UFL.AWAIR 33869 CO2,UFL.AWAIR 33869 HUMIDITY,UFL.AWAIR 33869 LUX,UFL.AWAIR 33869 PM10,UFL.AWAIR 33869 PM2.5,UFL.AWAIR 33869 SCORE,UFL.AWAIR 33869 SOUND,UFL.AWAIR 33869 TEMP,UFL.AWAIR 33869 VOC,UFL.Purple Air Outdoor 145432 Humidity,UFL.Purple Air Outdoor 145432 PM1,UFL.Purple Air Outdoor 145432 PM10,UFL.Purple Air Outdoor 145432 PM2.5,UFL.Purple Air Outdoor 145432 Pressure,UFL.Purple Air Outdoor 145432 Temperature,PPM55 Temperature,PPM55 Relative Humidity,PPM55 CO,PPM55 CO2,PPM55 TVOC,PPM55 Test Number,PPM55 Air Velocity,PPM54 Temperature,PPM54 Relative Humidity,PPM54 CO,PPM54 CO2,PPM54 TVOC,PPM54 Test Number,PPM54 Air Velocity,Testo400 Globe Temerature,Testo400 Temperature,Testo400 Air Velocity,Testo440 Globe Temerature
6/20/22 9:06,nen11,22,Acceptable,No change,No change,1,2,Watch 1,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1336536,88.05157,27.2049828,718.7729,68.1084,27.2492466,495.186035,71.09089,21.3305073,5284.89551,568.308533,126.643692,20,615.6636,26.7451172,226.981674,27.3,0,27.62047,290.635437,26.3653526,679.8063,79.10984,365.392273,5.03074169,3.77960849,72.88983,54.8518028,26.24638,20,645.796265,78.5718,148.35675,4.2417,3,73.7789,56.1187134,26.2023335,20,73,7.1,11,10.5,1010.6,83,27.8,73.4,0.114,734,0.228,1,0.847,27.3,74,0.239,689,0.396,1,1.141,27.1,26.9,0.53,27.6
6/20/22 9:06,nen12,26,Acceptable,Cooler,No change,2,2,Watch 1,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1336536,88.05157,27.2049828,718.7729,68.1084,27.2492466,495.186035,71.09089,21.3305073,5284.89551,568.308533,126.643692,20,615.6636,26.7451172,226.981674,27.3,0,27.62047,290.635437,26.3653526,679.8063,79.10984,365.392273,5.03074169,3.77960849,72.88983,54.8518028,26.24638,20,645.796265,78.5718,148.35675,4.2417,3,73.7789,56.1187134,26.2023335,20,73,7.1,11,10.5,1010.6,83,27.8,73.4,0.114,734,0.228,1,0.847,27.3,74,0.239,689,0.396,1,1.141,27.1,26.9,0.53,27.6
6/20/22 9:06,nen14,29,Acceptable,No change,No change,4,2,Watch 1,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1336536,88.05157,27.2049828,718.7729,68.1084,27.2492466,495.186035,71.09089,21.3305073,5284.89551,568.308533,126.643692,20,615.6636,26.7451172,226.981674,27.3,0,27.62047,290.635437,26.3653526,679.8063,79.10984,365.392273,5.03074169,3.77960849,72.88983,54.8518028,26.24638,20,645.796265,78.5718,148.35675,4.2417,3,73.7789,56.1187134,26.2023335,20,73,7.1,11,10.5,1010.6,83,27.8,73.4,0.114,734,0.228,1,0.847,27.3,74,0.239,689,0.396,1,1.141,27.1,26.9,0.53,27.6
6/20/22 9:06,nen15,17,Unacceptable,Cooler,More,5,2,Watch 1,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1336536,88.05157,27.2049828,718.7729,68.1084,27.2492466,495.186035,71.09089,21.3305073,5284.89551,568.308533,126.643692,20,615.6636,26.7451172,226.981674,27.3,0,27.62047,290.635437,26.3653526,679.8063,79.10984,365.392273,5.03074169,3.77960849,72.88983,54.8518028,26.24638,20,645.796265,78.5718,148.35675,4.2417,3,73.7789,56.1187134,26.2023335,20,73,7.1,11,10.5,1010.6,83,27.8,73.4,0.114,734,0.228,1,0.847,27.3,74,0.239,689,0.396,1,1.141,27.1,26.9,0.53,27.6
6/20/22 9:06,nen16,23,Acceptable,Cooler,More,6,2,Watch 1,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1336536,88.05157,27.2049828,718.7729,68.1084,27.2492466,495.186035,71.09089,21.3305073,5284.89551,568.308533,126.643692,20,615.6636,26.7451172,226.981674,27.3,0,27.62047,290.635437,26.3653526,679.8063,79.10984,365.392273,5.03074169,3.77960849,72.88983,54.8518028,26.24638,20,645.796265,78.5718,148.35675,4.2417,3,73.7789,56.1187134,26.2023335,20,73,7.1,11,10.5,1010.6,83,27.8,73.4,0.114,734,0.228,1,0.847,27.3,74,0.239,689,0.396,1,1.141,27.1,26.9,0.53,27.6
6/20/22 9:08,nen13,3,Acceptable,Warmer,Less,3,2,Watch 1,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8820477,88.1222839,27.1706085,730.654358,67.51767,27.15283,493.35965,71.70148,21.0099983,5642.29443,559.680969,129.995468,15.0195646,653.345642,26.50043,217.828415,27.11541,0,27.54996,296.9952,26.34494,693.724731,78.47102,366.0029,4.960409,3.710117,73.2898254,53.501442,26.14009,20,653.507446,77.958786,148.181137,4.2417,3,74.57909,54.8014145,26.08499,20,73,7.1,11,10.5,1010.6,83,27.6,72.8,0.204,743,0.229,1,0.816,27.2,73.5,0.372,695,0.386,1,0.503,27,27,0.26,27.5
6/20/22 9:15,nen13,4,Unacceptable,Cooler,More,3,2,Watch 2,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3636074,88.2054443,27.1932411,734.157349,65.13444,26.7539349,498.096436,73.61248,20.3832035,5744.79443,624.7679,137.795166,10,667.802856,25.980381,228.761276,26.587,0,27.6352844,301.8139,26.4250946,714.4808,76.2351761,366.362,3.54342222,2.31007028,76.06971,51.1275253,25.7680817,20,662.860535,76.11774,147.296509,3.543445,2.310093,77.3797455,52.358532,25.6742859,20,73,7.1,11,10.5,1010.6,83,27.3,71.2,0.118,739,0.232,1,0.081,26.9,71.5,0.273,717,0.367,1,0.166,27.1,27.3,0.03,27.4
6/20/22 9:15,nen15,18,Unacceptable,Cooler,More,5,2,Watch 2,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3636074,88.2054443,27.1932411,734.157349,65.13444,26.7539349,498.096436,73.61248,20.3832035,5744.79443,624.7679,137.795166,10,667.802856,25.980381,228.761276,26.587,0,27.6352844,301.8139,26.4250946,714.4808,76.2351761,366.362,3.54342222,2.31007028,76.06971,51.1275253,25.7680817,20,662.860535,76.11774,147.296509,3.543445,2.310093,77.3797455,52.358532,25.6742859,20,73,7.1,11,10.5,1010.6,83,27.3,71.2,0.118,739,0.232,1,0.081,26.9,71.5,0.273,717,0.367,1,0.166,27.1,27.3,0.03,27.4
6/20/22 9:16,nen11,23,Unacceptable,Cooler,More,1,2,Watch 2,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3095818,88.0404739,27.2219715,732.0198,64.95708,26.7205143,496.215332,73.71202,20.3324928,5751.591,623.9456,137.87674,10,669.5667,25.9114819,228.364227,26.4023743,0,27.6151466,303.709747,26.42,712.8806,75.91577,366.322,3.34099531,2.11006379,76.66978,51.07752,25.7149372,20,661.6604,75.85473,147.26651,3.34100127,2.11006951,77.77984,52.2885246,25.6156139,20,73,7.1,11,10.5,1010.6,83,27.4,70.2,0.138,776,0.233,1,0.087,26.9,70.8,0.228,712,0.367,1,0.156,27,27.3,0.09,27.4
6/20/22 9:16,nen16,24,Acceptable,Cooler,More,6,2,Watch 2,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3095818,88.0404739,27.2219715,732.0198,64.95708,26.7205143,496.215332,73.71202,20.3324928,5751.591,623.9456,137.87674,10,669.5667,25.9114819,228.364227,26.4023743,0,27.6151466,303.709747,26.42,712.8806,75.91577,366.322,3.34099531,2.11006379,76.66978,51.07752,25.7149372,20,661.6604,75.85473,147.26651,3.34100127,2.11006951,77.77984,52.2885246,25.6156139,20,73,7.1,11,10.5,1010.6,83,27.4,70.2,0.138,776,0.233,1,0.087,26.9,70.8,0.228,712,0.367,1,0.156,27,27.3,0.09,27.4
